[rank 0] [2026-09-08 15:32:49,357][root][INFO] - loading world_model/checkpoints/Wan2.2-TI2V-5B/Wan2.2_VAE.pth
[rank 0] [2026-09-08 15:33:54,468][root][INFO] - loading world_model/checkpoints/Wan2.2-TI2V-5B/models_t5_umt5-xxl-enc-bf16.pth
[rank 0] [2026-09-08 15:34:07,299][world_model.training.BaseTrainer][INFO] - Loading train and eval datasets...
[rank 0] [2026-09-08 15:34:07,681][world_model.training.BaseTrainer][INFO] - Loading pretrained models...
[rank 0] [2026-09-08 15:34:16,039][world_model.training.BaseTrainer][INFO] - Building optimizer...
[rank 0] [2026-09-08 15:34:16,043][world_model.training.BaseTrainer][INFO] - Building Scheduler...
[rank 0] [2026-09-08 15:34:16,353][world_model.training.BaseTrainer][INFO] - Creating CheckpointManager...
[rank 0] [2026-09-08 15:34:22,471][world_model.training.BaseTrainer][INFO] - Starting training loop...
[rank 0] [2026-09-08 15:37:36,676][world_model.training.BaseTrainer][INFO] - Train_log step 10 ...
[rank 0] [2026-09-08 15:37:36,760][world_model.training.BaseTrainer][INFO] - Step 10: mean_loss: nan
[rank 0] [2026-09-08 15:37:36,760][world_model.training.BaseTrainer][INFO] - Step 10: mean_grad_norm: nan
[rank 0] [2026-09-08 15:37:36,760][world_model.training.BaseTrainer][INFO] - Step 10: param_norm: nan
[rank 0] [2026-09-08 15:38:30,595][world_model.training.BaseTrainer][INFO] - Training stopped by signal, saveing model state...
